DATE,avg_sell_price_tick,price_high_b,avg_sell_price_wrds,avg_price_m,avg_buy_price_Retail,price_high_m,avg_buy_price_Inst20k,avg_buy_price_Inst50k,avg_buy_price_LR,BestBidDepth_Share_tw
2020-06-16,228.36374168,233.0,228.37151738,228.39420802,228.4358641,230.25,228.42531686,228.51017826,228.42112405,140.96761819
2020-06-17,230.14283272,231.0,230.15139783,230.1854895,230.46676279,231.65,230.18077484,230.37717015,230.22364689,162.8064395
2020-06-18,229.95667383,230.3396,229.97059555,229.98186441,229.93265422,231.21,229.94966253,229.85108706,229.99678541,175.08255731
2020-06-19,230.27283139,233.0,230.31528305,230.28151588,230.40560316,234.41,230.24719608,230.41452791,230.2414286,164.60925617
2020-06-22,232.75765276,232.0,232.75163289,232.79923346,232.83912357,234.54,232.89006874,233.03008488,232.84086021,161.4993918
2020-06-23,229.60141081,239.0,229.60209666,229.60926928,229.55864098,232.88,229.66937186,229.74063228,229.61728218,167.07209475
2020-06-24,224.37785371,229.0,224.38037815,224.39243461,224.20623519,231.11,224.57939046,224.82933671,224.40664283,168.21225066
2020-06-25,224.51285927,223.45,224.50322879,224.58535909,224.27766402,227.1,224.78602532,224.71530923,224.66196961,198.77809859
2020-06-26,225.34612965,227.0,225.36758344,225.38820115,225.5635226,226.88,225.37488177,225.39292,225.4018519,158.80334087
2020-06-29,226.18637329,225.836,226.14861371,226.22786698,225.83531195,228.0,226.31094964,225.78110119,226.32785592,145.34664417
2020-06-30,227.71449211,230.0,227.72296654,227.78024298,227.51332605,230.03,228.00897624,228.55368475,227.84229821,130.74069343
2020-07-01,229.50249396,231.89,229.50015784,229.52229464,229.44851185,230.95,229.56906639,229.40381644,229.54107527,138.45076018
2020-07-02,231.18485247,232.0,231.18620479,231.20317319,231.30732396,232.87,231.13607631,231.27135932,231.21615046,140.30994951
2020-07-06,235.96142793,235.0,235.94478137,235.99090757,235.96169313,238.62,236.14408071,236.581345,236.03387974,145.69645022
2020-07-07,236.10626219,235.91,236.06512108,236.14727597,236.30848144,238.92,236.15183165,236.10833294,236.20643808,137.4064466
2020-07-08,239.45709651,238.0,239.46187589,239.45162603,239.42393194,243.0,239.45363464,240.18177552,239.4468057,171.62867079
2020-07-09,247.17815981,246.8,247.18463927,247.1954837,247.20310092,249.68,247.14512305,247.24195492,247.20827153,146.45471886
2020-07-10,247.90825171,251.0,247.90191462,247.94118432,247.92495558,249.0,247.9914507,248.10565984,247.97581382,147.41045725
2020-07-13,248.98225487,252.0,248.94063317,249.13018883,250.32527752,255.865,249.44127112,251.32750179,249.32277389,140.79783774
2020-07-14,241.94898928,244.0,241.93135835,242.05004148,241.97580369,245.54,242.0513911,242.18817823,242.16527587,145.29323042
2020-07-15,241.86380283,248.026,241.84886206,241.95731885,242.20189875,246.98,242.08428078,242.71598052,242.06298715,151.15767932
2020-07-16,237.19763046,240.49,237.1720953,237.23832196,237.2819499,239.81,237.4932829,237.99212188,237.3158267,144.89712204
2020-07-17,238.43379685,239.25,238.40978498,238.49764435,238.22679291,240.65,238.81172073,238.79853647,238.59100493,154.23257483
2020-07-20,249.26030525,241.74,249.28043417,249.26701687,249.46297842,252.4,249.0515381,249.46732838,249.24940016,138.80749345
2020-07-21,249.67805,255.245,249.69501622,249.72021826,249.64006522,253.0,249.77179693,249.79893318,249.75450787,148.41897976
2020-07-22,251.19002855,250.73,251.13837199,251.30418323,251.55887256,255.3,251.52773569,252.11065623,251.51546005,158.14571286
2020-07-23,250.78404933,254.72,250.82754323,250.8192689,251.10233077,255.1,250.74769808,251.65102185,250.79472809,150.02056817
2020-07-24,243.46842584,246.8,243.44916616,243.51185694,243.70737707,246.75,243.51114473,243.65,243.59173616,145.97703645
2020-07-27,246.49395147,251.98,246.47665447,246.55702994,246.58079186,248.29,246.69277545,246.87148448,246.64287805,138.14372888
2020-07-28,246.87562252,249.51,246.84905165,246.92649345,247.33895817,249.57,246.95283034,247.18517576,247.01763747,200.39782052
2020-07-29,249.41519044,249.8,249.40494964,249.47222558,249.66592712,251.48,249.57266453,249.84932254,249.52443577,160.08525556
2020-07-30,250.25062596,250.0,250.30512694,250.33749458,249.96439022,252.765,250.17429474,250.68568443,250.36729043,145.60742614
2020-07-31,251.90684051,254.88,251.90076651,252.06404757,251.48755818,255.92,252.86698699,252.94033021,252.23512334,153.31692931
2020-08-03,254.35417268,259.0,254.33135358,254.38871274,254.35096768,256.44,254.42023104,254.54799623,254.45388168,131.99549248
2020-08-04,253.02881367,254.43,253.02413941,253.09290508,253.03461474,254.92,253.20893117,253.40406582,253.16072916,135.14129719
2020-08-05,263.74746479,264.99,263.79384484,263.72756524,263.86389177,266.385,263.59243806,263.21099698,263.62733087,132.37367845
2020-08-06,263.08714714,266.17,262.95532993,263.14692379,262.88838772,265.92,263.58231407,263.49543416,263.31759272,137.51827234
2020-08-07,261.47742402,267.0,261.50283236,261.54325437,261.91464648,265.8,261.79778789,261.77187293,261.59547814,144.05897248
2020-08-10,257.3815804,262.5,257.39017522,257.37382359,257.60426456,262.0,257.39338853,257.49715474,257.36272316,144.12801855
2020-08-11,256.9542818,260.0,256.9559203,256.97679855,257.22618273,261.08,256.89186871,257.00984865,256.99025672,138.4519412
2020-08-12,259.54644263,262.25,259.56843297,259.58557333,259.67285652,261.77,259.57499045,259.48547344,259.59494171,141.81750978
2020-08-13,261.46687866,263.04,261.43536492,261.5154434,261.64398,263.58,261.51364097,261.26442588,261.57061813,130.45443235
2020-08-14,259.78075439,265.0,259.70873854,259.81129171,259.78178963,262.855,259.949453,260.03425373,259.90037441,125.08779663
2020-08-17,262.2278344,261.61,262.21393011,262.2799502,262.20474651,264.31,262.43422947,262.51471491,262.36649164,143.53027923
2020-08-18,266.08211427,267.0,266.04258181,266.1202056,266.10389191,269.5,266.27036757,266.14170423,266.20271193,152.24661339
2020-08-19,269.31057874,268.84,269.33471852,269.40198321,269.58159259,272.31,269.44951759,269.17443779,269.46313768,136.9807381
2020-08-20,271.62141512,274.0,271.61803655,271.6958486,271.6692723,273.58,271.76764846,271.62995257,271.75496862,148.83009499
2020-08-21,270.27650305,276.4,270.27093985,270.29046152,270.30883939,275.06,270.27294243,270.5068374,270.32046658,135.36789811
2020-08-24,265.10368054,275.4,265.46429039,267.67108092,267.8517793,274.59,267.51913131,267.67940786,267.59211113,178.34077999
2020-08-25,262.33347352,262.98,262.33061422,262.54142317,262.69246224,267.07,262.61343475,262.71446016,262.5993207,168.70674996
2020-08-26,262.46309161,263.84,262.4520639,262.50156711,262.55173969,264.64,262.61127797,262.60402038,262.55533627,150.12419639
2020-08-27,255.44275346,265.0,255.539241,255.37591818,255.39008281,263.0,255.14950187,255.34211043,255.23209578,155.95052444
2020-08-28,254.7569769,257.52,254.78048284,254.79449292,254.84832691,258.6649,254.8648944,254.67474685,254.81269654,146.12568774
2020-08-31,256.42299131,256.875,256.43226572,256.47635407,256.34798724,258.24,256.56223356,256.55680887,256.49969446,150.56196564
2020-09-01,258.46286372,260.1,258.44710136,258.52861565,258.66723257,261.15,258.5957282,258.56872442,258.59268175,175.21148718
2020-09-02,256.74124076,260.0,256.74397255,256.75236782,256.70596561,260.9824,256.79498377,256.77996318,256.76799401,131.92272221
2020-09-03,242.65572513,257.46,242.75176654,242.61845465,242.68671212,253.99,242.61046603,243.23196281,242.49928741,147.87173761
2020-09-04,233.73899119,243.01,233.70564978,233.7289669,233.64124209,242.8,233.7435448,233.46344727,233.77864318,180.78915492
2020-09-08,234.73598774,239.0,234.68756347,234.82508861,234.88044853,237.66,234.85656528,234.80288512,234.91419509,149.66257314
2020-09-09,238.3670288,239.56,238.36738958,238.40499026,238.46178623,240.0999,238.41918966,238.51164853,238.43882798,133.02600178
2020-09-10,239.55098692,240.9896,239.52746664,239.57095534,240.00416683,243.25,239.67538574,239.69888174,239.58945529,144.79766043
2020-09-11,241.7686465,242.0,241.74598963,241.83195924,241.7677404,260.2655,241.95297042,241.77383333,241.89318797,145.34096283
2020-09-14,246.15253756,246.776,246.16623788,246.17895142,246.16464931,247.9,246.19261595,246.19959406,246.18679339,138.52711271
2020-09-15,247.79900274,248.0,247.80049788,247.83346869,247.76241354,249.66,247.86586608,247.92177973,247.8579835,137.57424028
2020-09-16,248.87392875,250.05,248.84185442,248.91610861,249.06478437,250.8699,248.91603876,249.03411912,248.97462657,127.00494607
2020-09-17,240.5797795,246.13,240.5874218,240.64300377,240.73425097,243.2294,240.74514443,241.1225954,240.70171827,134.4480579
2020-09-18,240.72978053,245.02,240.75345026,240.75169598,240.88330605,244.4854,240.69899212,240.78223729,240.75475786,141.28979134
2020-09-21,241.46543931,241.6,241.44103349,241.49352639,241.56185709,243.8499,241.56406402,241.6004369,241.534779,133.9481581
2020-09-22,244.23847451,246.0,244.28170312,244.27384658,244.23346895,247.8299,244.20327978,244.2799541,244.27242742,129.18015174
2020-09-23,242.93896931,249.48,242.98752023,242.89683581,243.71147223,247.9399,242.36616074,242.04900319,242.81087436,125.1684245
2020-09-24,238.19790748,245.5,238.17823758,238.23907698,238.17967556,241.6,238.28095268,238.04561163,238.29634154,129.04821065
2020-09-25,240.23655845,240.0,240.22209903,240.26175441,240.14906436,242.8,240.37415939,240.339537,240.29513428,135.59921515
